fairness_rank,student_id,school,sex,need_probability,need_score,baseline_selected,fairness_selected,G1,G2,absences,failures
33,MAT_128,GP,F,0.9961,99.6,1,1,7,8,2,3
34,MAT_308,GP,M,0.9961,99.6,1,1,8,9,38,1
35,MAT_374,MS,F,0.9961,99.6,1,1,6,5,14,0
36,MAT_385,MS,M,0.9946,99.5,1,1,6,5,14,1
37,MAT_165,GP,M,0.9942,99.4,1,1,5,8,0,3
38,MAT_178,GP,M,0.994,99.4,1,1,6,5,4,0
39,MAT_093,GP,F,0.9921,99.2,1,1,7,6,4,0
40,MAT_002,GP,F,0.9919,99.2,1,1,5,5,4,0
41,MAT_090,GP,M,0.9904,99.0,1,1,8,6,18,0
42,MAT_147,GP,F,0.9897,99.0,1,1,6,7,0,3
43,MAT_271,GP,F,0.9889,98.9,1,1,9,9,15,2
44,MAT_214,GP,M,0.9882,98.8,1,1,6,7,15,1
45,MAT_210,GP,F,0.9876,98.8,1,1,7,7,6,0
46,MAT_248,GP,M,0.9875,98.7,1,1,6,8,16,3
47,MAT_211,GP,F,0.9859,98.6,1,1,8,8,10,0
48,MAT_207,GP,F,0.9855,98.5,1,1,7,7,5,3
49,MAT_174,GP,F,0.9839,98.4,1,1,8,7,0,3
50,MAT_083,GP,F,0.9835,98.4,1,1,7,6,10,0
51,MAT_141,GP,M,0.9834,98.3,1,1,7,9,0,0
52,MAT_388,MS,F,0.9831,98.3,1,1,7,5,0,1
53,MAT_353,MS,M,0.9807,98.1,1,1,8,7,7,1
54,MAT_104,GP,F,0.9778,97.8,1,1,7,6,26,0
55,MAT_235,GP,M,0.9761,97.6,1,1,9,7,18,0
56,MAT_240,GP,M,0.9751,97.5,1,1,7,7,0,1
57,MAT_351,MS,M,0.9751,97.5,1,1,8,7,8,3
58,MAT_073,GP,F,0.975,97.5,1,1,8,6,2,2
59,MAT_331,GP,M,0.9727,97.3,1,1,9,8,2,0
60,MAT_101,GP,M,0.9675,96.7,1,1,7,7,14,0
61,MAT_395,MS,M,0.9645,96.4,1,1,8,9,5,0
62,MAT_068,GP,F,0.9639,96.4,1,1,7,7,4,0
63,MAT_169,GP,F,0.963,96.3,1,1,6,7,0,0
64,MAT_026,GP,F,0.9585,95.9,1,1,6,9,14,2
65,MAT_100,GP,F,0.9552,95.5,1,1,7,9,0,0
66,MAT_311,GP,F,0.955,95.5,1,1,9,9,0,1
67,MAT_091,GP,F,0.9491,94.9,1,1,7,7,0,0
68,MAT_098,GP,F,0.9457,94.6,1,1,8,9,2,0
69,MAT_079,GP,M,0.9441,94.4,1,1,8,8,2,3
70,MAT_204,GP,F,0.9417,94.2,1,1,7,6,18,0
71,MAT_334,GP,F,0.9382,93.8,1,1,8,8,0,0
72,MAT_251,GP,M,0.9364,93.6,1,1,6,8,0,1
73,MAT_125,GP,F,0.9305,93.1,1,1,8,7,0,0
74,MAT_262,GP,M,0.9291,92.9,1,1,8,8,2,0
75,MAT_087,GP,F,0.9253,92.5,1,1,8,7,4,0
76,MAT_298,GP,F,0.9222,92.2,1,1,10,8,10,0
77,MAT_219,GP,F,0.914,91.4,0,1,7,7,3,0
78,MAT_142,GP,M,0.9136,91.4,0,1,9,9,8,2
79,MAT_036,GP,F,0.9122,91.2,0,1,8,7,0,0
80,MAT_389,MS,F,0.9574,95.7,1,0,7,9,0,0
81,MAT_382,MS,M,0.9361,93.6,1,0,7,6,5,0
82,MAT_368,MS,F,0.9183,91.8,1,0,7,6,0,1
83,MAT_391,MS,M,0.9134,91.3,0,0,9,9,11,2
84,MAT_354,MS,M,0.9091,90.9,0,0,8,8,4,1
85,MAT_318,GP,F,0.9015,90.2,0,0,9,10,9,0
86,MAT_050,GP,F,0.8973,89.7,0,0,7,7,2,1
87,MAT_256,GP,M,0.8972,89.7,0,0,7,9,2,1
88,MAT_278,GP,M,0.8936,89.4,0,0,9,9,22,0
89,MAT_253,GP,M,0.8875,88.7,0,0,6,9,4,1
90,MAT_119,GP,M,0.8856,88.6,0,0,9,7,20,1
91,MAT_393,MS,M,0.8846,88.5,0,0,10,8,3,3
92,MAT_226,GP,F,0.8812,88.1,0,0,9,8,16,1
93,MAT_193,GP,M,0.874,87.4,0,0,7,8,12,0
94,MAT_107,GP,F,0.8737,87.4,0,0,7,8,8,0
95,MAT_297,GP,F,0.8726,87.3,0,0,10,9,0,0
96,MAT_260,GP,F,0.8722,87.2,0,0,10,9,0,0
97,MAT_181,GP,M,0.8687,86.9,0,0,9,8,10,0
98,MAT_277,GP,F,0.8646,86.5,0,0,10,9,75,0
99,MAT_189,GP,F,0.8644,86.4,0,0,8,7,6,0
100,MAT_162,GP,M,0.8596,86.0,0,0,5,9,6,2
101,MAT_046,GP,F,0.855,85.5,0,0,8,8,8,0
102,MAT_344,GP,F,0.8367,83.7,0,0,9,8,0,1
103,MAT_064,GP,F,0.8315,83.2,0,0,10,9,2,0
104,MAT_192,GP,F,0.831,83.1,0,0,8,8,0,0
105,MAT_156,GP,M,0.8197,82.0,0,0,11,8,2,0
106,MAT_338,GP,F,0.8099,81.0,0,0,7,8,0,0
107,MAT_011,GP,F,0.8031,80.3,0,0,10,8,0,0
108,MAT_086,GP,F,0.8028,80.3,0,0,7,9,6,2
109,MAT_265,GP,F,0.7909,79.1,0,0,9,10,0,0
110,MAT_284,GP,F,0.7902,79.0,0,0,8,9,4,0
111,MAT_264,GP,F,0.7863,78.6,0,0,10,9,4,0
112,MAT_335,GP,F,0.7826,78.3,0,0,10,9,0,0
113,MAT_063,GP,F,0.7711,77.1,0,0,8,10,4,0
114,MAT_041,GP,F,0.7685,76.9,0,0,7,10,25,1
115,MAT_356,MS,F,0.7637,76.4,0,0,10,9,0,0
116,MAT_281,GP,M,0.7629,76.3,0,0,8,8,30,0
117,MAT_206,GP,F,0.7533,75.3,0,0,10,9,28,1
118,MAT_329,GP,F,0.7503,75.0,0,0,10,9,7,0
119,MAT_220,GP,F,0.7458,74.6,0,0,9,10,4,0
120,MAT_059,GP,M,0.7427,74.3,0,0,9,10,2,0
121,MAT_005,GP,F,0.7381,73.8,0,0,6,10,4,0
122,MAT_342,GP,M,0.7294,72.9,0,0,10,10,0,1
123,MAT_233,GP,M,0.7079,70.8,0,0,11,9,14,0
124,MAT_045,GP,F,0.6933,69.3,0,0,10,10,14,1
125,MAT_025,GP,F,0.6778,67.8,0,0,10,9,2,0
126,MAT_378,MS,F,0.6739,67.4,0,0,8,9,4,0
127,MAT_269,GP,M,0.6649,66.5,0,0,10,9,10,0
128,MAT_184,GP,F,0.6586,65.9,0,0,9,9,56,0
129,MAT_003,GP,F,0.6369,63.7,0,0,7,8,10,3
130,MAT_202,GP,F,0.6218,62.2,0,0,8,10,6,0
131,MAT_176,GP,M,0.6162,61.6,0,0,10,9,4,0
132,MAT_348,GP,M,0.6033,60.3,0,0,10,10,0,0
133,MAT_322,GP,F,0.5903,59.0,0,0,11,9,12,0
134,MAT_069,GP,F,0.5856,58.6,0,0,8,9,2,0
135,MAT_317,GP,F,0.5847,58.5,0,0,8,8,0,0
136,MAT_179,GP,M,0.5768,57.7,0,0,10,8,10,0
137,MAT_229,GP,M,0.5741,57.4,0,0,10,8,14,0
138,MAT_054,GP,F,0.5708,57.1,0,0,8,10,0,0
139,MAT_376,MS,F,0.546,54.6,0,0,8,8,2,0
140,MAT_203,GP,F,0.5257,52.6,0,0,9,9,4,0
141,MAT_096,GP,F,0.5215,52.2,0,0,7,10,2,1
142,MAT_200,GP,F,0.5183,51.8,0,0,9,9,0,0
143,MAT_044,GP,M,0.5001,50.0,0,0,8,8,0,0
144,MAT_198,GP,M,0.4931,49.3,0,0,9,9,8,0
145,MAT_115,GP,M,0.4888,48.9,0,0,9,9,8,0
146,MAT_282,GP,M,0.4778,47.8,0,0,11,9,19,1
147,MAT_076,GP,M,0.4766,47.7,0,0,9,9,6,0
148,MAT_194,GP,M,0.4747,47.5,0,0,8,9,8,0
149,MAT_112,GP,F,0.4624,46.2,0,0,7,10,0,1
150,MAT_158,GP,F,0.4491,44.9,0,0,9,8,6,3
151,MAT_254,GP,M,0.4479,44.8,0,0,8,9,0,0
152,MAT_020,GP,M,0.4427,44.3,0,0,8,10,4,0
153,MAT_143,GP,F,0.4397,44.0,0,0,9,11,2,0
154,MAT_056,GP,F,0.406,40.6,0,0,8,9,8,0
155,MAT_359,MS,M,0.3877,38.8,0,0,10,10,4,0
156,MAT_106,GP,F,0.3837,38.4,0,0,10,11,10,0
157,MAT_285,GP,F,0.3805,38.0,0,0,10,9,4,0
158,MAT_190,GP,M,0.378,37.8,0,0,8,9,4,0
159,MAT_205,GP,F,0.3758,37.6,0,0,10,10,6,0
160,MAT_275,GP,F,0.3672,36.7,0,0,10,10,2,0
161,MAT_280,GP,M,0.3668,36.7,0,0,10,11,8,0
162,MAT_018,GP,F,0.3646,36.5,0,0,8,10,4,0
163,MAT_072,GP,M,0.3437,34.4,0,0,10,10,0,0
164,MAT_062,GP,F,0.3322,33.2,0,0,10,8,6,0
165,MAT_160,GP,M,0.3034,30.3,0,0,10,12,4,1
166,MAT_175,GP,F,0.3015,30.1,0,0,10,11,4,0
167,MAT_180,GP,M,0.2986,29.9,0,0,10,10,4,0
168,MAT_366,MS,M,0.2968,29.7,0,0,10,10,4,0
169,MAT_146,GP,F,0.2867,28.7,0,0,8,11,0,0
170,MAT_323,GP,F,0.2851,28.5,0,0,11,11,3,0
171,MAT_301,GP,F,0.2621,26.2,0,0,12,10,14,0
172,MAT_373,MS,F,0.2453,24.5,0,0,13,11,8,0
173,MAT_167,GP,M,0.2361,23.6,0,0,10,10,4,0
174,MAT_268,GP,F,0.2354,23.5,0,0,12,10,8,0
175,MAT_316,GP,F,0.2294,22.9,0,0,13,11,40,1
176,MAT_127,GP,F,0.2266,22.7,0,0,7,10,0,0
177,MAT_242,GP,M,0.2206,22.1,0,0,10,11,2,0
178,MAT_061,GP,F,0.2119,21.2,0,0,10,11,6,0
179,MAT_326,GP,M,0.2027,20.3,0,0,9,12,3,0
180,MAT_310,GP,F,0.2026,20.3,0,0,12,10,18,1
181,MAT_267,GP,M,0.1965,19.6,0,0,9,9,2,0
182,MAT_320,GP,F,0.1941,19.4,0,0,11,11,2,0
183,MAT_313,GP,M,0.1802,18.0,0,0,13,11,3,1
184,MAT_273,GP,F,0.1718,17.2,0,0,11,11,2,0
185,MAT_153,GP,F,0.1712,17.1,0,0,10,10,8,2
186,MAT_230,GP,F,0.1687,16.9,0,0,12,10,10,0
187,MAT_341,GP,F,0.1591,15.9,0,0,11,12,4,1
188,MAT_345,GP,F,0.1501,15.0,0,0,11,10,4,0
189,MAT_155,GP,F,0.1457,14.6,0,0,11,11,0,0
190,MAT_258,GP,M,0.1411,14.1,0,0,11,11,12,0
191,MAT_034,GP,M,0.1401,14.0,0,0,8,10,0,0
192,MAT_150,GP,M,0.1386,13.9,0,0,8,9,0,3
193,MAT_340,GP,F,0.1312,13.1,0,0,9,10,4,0
194,MAT_383,MS,M,0.1307,13.1,0,0,11,11,2,0
195,MAT_065,GP,F,0.12,12.0,0,0,10,10,0,0
196,MAT_309,GP,M,0.1142,11.4,0,0,15,12,0,1
197,MAT_075,GP,F,0.1139,11.4,0,0,11,12,54,0
198,MAT_209,GP,F,0.1109,11.1,0,0,9,9,6,0
199,MAT_030,GP,M,0.1099,11.0,0,0,10,12,16,0
200,MAT_094,GP,F,0.1097,11.0,0,0,11,10,0,0
201,MAT_369,MS,F,0.1028,10.3,0,0,11,10,0,0
202,MAT_047,GP,F,0.1001,10.0,0,0,11,12,12,0
203,MAT_215,GP,F,0.0937,9.4,0,0,8,10,12,0
204,MAT_241,GP,M,0.0936,9.4,0,0,12,12,14,0
205,MAT_208,GP,F,0.0935,9.4,0,0,11,12,10,0
206,MAT_232,GP,M,0.0932,9.3,0,0,11,11,4,0
207,MAT_257,GP,F,0.092,9.2,0,0,14,12,6,0
208,MAT_081,GP,M,0.0894,8.9,0,0,10,12,2,0
209,MAT_286,GP,M,0.0835,8.3,0,0,12,10,2,0
210,MAT_077,GP,M,0.0817,8.2,0,0,11,11,8,0
211,MAT_173,GP,M,0.0816,8.2,0,0,13,11,0,0
212,MAT_166,GP,M,0.0768,7.7,0,0,12,11,16,1
213,MAT_252,GP,M,0.0752,7.5,0,0,7,10,6,0
214,MAT_239,GP,F,0.0751,7.5,0,0,13,11,2,0
215,MAT_314,GP,F,0.075,7.5,0,0,13,10,22,1
216,MAT_164,GP,M,0.0736,7.4,0,0,10,10,2,0
217,MAT_386,MS,F,0.0718,7.2,0,0,10,9,2,0
218,MAT_133,GP,F,0.0658,6.6,0,0,10,13,12,0
219,MAT_089,GP,M,0.0638,6.4,0,0,11,10,12,1
220,MAT_014,GP,M,0.063,6.3,0,0,10,10,2,0
221,MAT_319,GP,F,0.0613,6.1,0,0,11,11,0,0
222,MAT_085,GP,F,0.0585,5.8,0,0,9,10,2,0
223,MAT_291,GP,M,0.0574,5.7,0,0,12,11,11,0
224,MAT_306,GP,F,0.055,5.5,0,0,14,12,8,1
225,MAT_293,GP,F,0.0512,5.1,0,0,12,12,12,1
226,MAT_365,MS,F,0.05,5.0,0,0,12,11,0,0
227,MAT_302,GP,M,0.049,4.9,0,0,11,11,0,0
228,MAT_109,GP,M,0.0484,4.8,0,0,10,13,6,0
229,MAT_236,GP,M,0.048,4.8,0,0,11,9,10,0
230,MAT_095,GP,M,0.0477,4.8,0,0,11,13,6,0
231,MAT_358,MS,F,0.0433,4.3,0,0,12,12,2,0
232,MAT_187,GP,M,0.0421,4.2,0,0,11,12,2,0
233,MAT_029,GP,M,0.0412,4.1,0,0,11,11,4,0
234,MAT_380,MS,F,0.041,4.1,0,0,10,10,17,0
235,MAT_082,GP,M,0.04,4.0,0,0,11,10,4,0
236,MAT_039,GP,F,0.0337,3.4,0,0,12,12,2,0
237,MAT_328,GP,M,0.0298,3.0,0,0,11,10,8,0
238,MAT_186,GP,M,0.0277,2.8,0,0,12,12,12,0
239,MAT_283,GP,F,0.0267,2.7,0,0,12,12,1,0
240,MAT_276,GP,F,0.0244,2.4,0,0,12,12,6,0
241,MAT_350,MS,M,0.0241,2.4,0,0,11,13,10,1
242,MAT_148,GP,F,0.0237,2.4,0,0,10,11,2,0
243,MAT_067,GP,M,0.0226,2.3,0,0,13,13,4,0
244,MAT_031,GP,M,0.0218,2.2,0,0,9,11,0,0
245,MAT_228,GP,M,0.0213,2.1,0,0,12,11,2,0
246,MAT_191,GP,F,0.02,2.0,0,0,11,12,10,0
247,MAT_007,GP,M,0.0196,2.0,0,0,12,12,0,0
248,MAT_078,GP,F,0.0192,1.9,0,0,11,11,0,0
249,MAT_113,GP,F,0.0185,1.9,0,0,10,13,6,1
250,MAT_123,GP,F,0.0183,1.8,0,0,13,13,2,0
251,MAT_213,GP,F,0.0183,1.8,0,0,12,13,0,0
252,MAT_053,GP,M,0.0177,1.8,0,0,11,11,6,1
253,MAT_255,GP,M,0.0173,1.7,0,0,8,12,0,0
254,MAT_185,GP,F,0.0162,1.6,0,0,12,13,14,0
255,MAT_124,GP,M,0.0136,1.4,0,0,14,11,18,0
256,MAT_263,GP,M,0.0132,1.3,0,0,13,12,1,0
257,MAT_117,GP,M,0.0129,1.3,0,0,11,13,2,0
258,MAT_367,MS,M,0.0129,1.3,0,0,13,13,0,0
259,MAT_305,GP,M,0.0126,1.3,0,0,15,14,20,1
260,MAT_363,MS,F,0.0119,1.2,0,0,11,11,0,0
261,MAT_157,GP,M,0.0112,1.1,0,0,16,12,8,0
262,MAT_288,GP,F,0.0097,1.0,0,0,13,12,6,0
263,MAT_299,GP,F,0.0093,0.9,0,0,14,13,0,0
264,MAT_272,GP,F,0.0091,0.9,0,0,15,14,4,0
265,MAT_312,GP,F,0.0087,0.9,0,0,14,12,20,0
266,MAT_337,GP,F,0.0085,0.9,0,0,14,13,12,1
267,MAT_224,GP,M,0.0082,0.8,0,0,12,13,0,0
268,MAT_231,GP,F,0.0079,0.8,0,0,13,13,14,0
269,MAT_357,MS,F,0.0079,0.8,0,0,12,13,4,0
270,MAT_315,GP,F,0.0075,0.7,0,0,15,13,14,2
271,MAT_139,GP,M,0.0068,0.7,0,0,14,12,0,1
272,MAT_372,MS,M,0.0067,0.7,0,0,14,12,3,0
273,MAT_212,GP,M,0.0064,0.6,0,0,12,12,13,0
274,MAT_370,MS,F,0.006,0.6,0,0,14,12,10,0
275,MAT_074,GP,M,0.0057,0.6,0,0,12,12,2,0
276,MAT_238,GP,F,0.0055,0.5,0,0,13,12,20,0
277,MAT_355,MS,M,0.0054,0.5,0,0,13,11,4,0
278,MAT_362,MS,M,0.0053,0.5,0,0,13,12,2,1
279,MAT_332,GP,F,0.0051,0.5,0,0,12,14,7,0
280,MAT_027,GP,M,0.0046,0.5,0,0,12,12,2,0
281,MAT_247,GP,M,0.0043,0.4,0,0,12,12,4,0
282,MAT_152,GP,M,0.0039,0.4,0,0,12,13,6,1
283,MAT_290,GP,M,0.0039,0.4,0,0,15,13,9,0
284,MAT_303,GP,F,0.0039,0.4,0,0,15,12,0,0
285,MAT_225,GP,F,0.0036,0.4,0,0,13,13,0,0
286,MAT_324,GP,F,0.0035,0.3,0,0,12,14,1,0
287,MAT_012,GP,F,0.0034,0.3,0,0,10,12,4,0
288,MAT_051,GP,F,0.0032,0.3,0,0,12,13,2,0
289,MAT_052,GP,F,0.0031,0.3,0,0,11,13,2,0
290,MAT_058,GP,M,0.0031,0.3,0,0,14,15,4,0
291,MAT_017,GP,F,0.003,0.3,0,0,13,14,6,0
292,MAT_321,GP,F,0.003,0.3,0,0,13,13,23,0
293,MAT_134,GP,F,0.0029,0.3,0,0,12,11,16,0
294,MAT_244,GP,M,0.0027,0.3,0,0,13,12,0,0
295,MAT_295,GP,M,0.0026,0.3,0,0,14,13,8,0
296,MAT_296,GP,M,0.0026,0.3,0,0,14,12,4,0
297,MAT_182,GP,M,0.0024,0.2,0,0,12,13,2,0
298,MAT_042,GP,M,0.0023,0.2,0,0,12,12,8,0
299,MAT_103,GP,M,0.0023,0.2,0,0,10,13,4,0
300,MAT_126,GP,M,0.0023,0.2,0,0,13,13,0,0
301,MAT_300,GP,M,0.0022,0.2,0,0,16,15,5,0
302,MAT_346,GP,F,0.002,0.2,0,0,13,13,7,0
303,MAT_274,GP,M,0.0019,0.2,0,0,15,14,2,0
304,MAT_004,GP,F,0.0016,0.2,0,0,15,14,2,0
305,MAT_120,GP,M,0.0014,0.1,0,0,14,13,6,0
306,MAT_352,MS,M,0.0014,0.1,0,0,13,13,2,0
307,MAT_364,MS,F,0.0014,0.1,0,0,16,15,0,0
308,MAT_196,GP,F,0.0013,0.1,0,0,14,15,0,0
309,MAT_330,GP,F,0.0013,0.1,0,0,14,14,4,0
310,MAT_024,GP,M,0.0012,0.1,0,0,13,13,0,0
311,MAT_110,GP,F,0.0012,0.1,0,0,14,15,4,0
312,MAT_170,GP,F,0.0012,0.1,0,0,14,14,0,0
313,MAT_237,GP,M,0.0012,0.1,0,0,14,13,4,0
314,MAT_361,MS,F,0.0012,0.1,0,0,13,13,0,0
315,MAT_013,GP,M,0.0011,0.1,0,0,14,14,2,0
316,MAT_289,GP,M,0.0011,0.1,0,0,15,14,6,0
317,MAT_377,MS,F,0.0011,0.1,0,0,15,14,4,2
318,MAT_394,MS,M,0.001,0.1,0,0,11,12,0,0
319,MAT_097,GP,M,0.0009,0.1,0,0,11,15,2,0
320,MAT_118,GP,M,0.0009,0.1,0,0,13,14,0,0
321,MAT_071,GP,M,0.0008,0.1,0,0,13,15,0,0
322,MAT_035,GP,M,0.0007,0.1,0,0,12,14,0,0
323,MAT_038,GP,M,0.0007,0.1,0,0,15,16,7,0
324,MAT_040,GP,F,0.0006,0.1,0,0,14,13,8,0
325,MAT_144,GP,F,0.0006,0.1,0,0,14,14,2,0
326,MAT_172,GP,M,0.0006,0.1,0,0,13,15,2,0
327,MAT_177,GP,F,0.0006,0.1,0,0,13,13,2,0
328,MAT_234,GP,M,0.0006,0.1,0,0,14,13,2,0
329,MAT_055,GP,F,0.0005,0.0,0,0,10,13,6,0
330,MAT_259,GP,M,0.0005,0.1,0,0,15,14,8,0
331,MAT_099,GP,F,0.0004,0.0,0,0,11,14,6,0
332,MAT_122,GP,M,0.0004,0.0,0,0,16,14,6,0
333,MAT_188,GP,M,0.0004,0.0,0,0,15,15,0,0
334,MAT_349,GP,F,0.0004,0.0,0,0,13,15,0,0
335,MAT_381,MS,M,0.0004,0.0,0,0,15,14,4,0
336,MAT_168,GP,F,0.0003,0.0,0,0,14,15,0,0
337,MAT_195,GP,M,0.0003,0.0,0,0,13,14,0,0
338,MAT_327,GP,M,0.0003,0.0,0,0,14,15,3,0
339,MAT_347,GP,M,0.0003,0.0,0,0,16,15,9,0
340,MAT_021,GP,M,0.0002,0.0,0,0,13,14,0,0
341,MAT_022,GP,M,0.0002,0.0,0,0,12,15,0,0
342,MAT_049,GP,M,0.0002,0.0,0,0,15,15,2,0
343,MAT_116,GP,M,0.0002,0.0,0,0,15,15,2,0
344,MAT_292,GP,F,0.0002,0.0,0,0,15,15,0,0
345,MAT_339,GP,F,0.0002,0.0,0,0,16,15,7,0
346,MAT_006,GP,M,0.0001,0.0,0,0,15,15,10,0
347,MAT_010,GP,M,0.0001,0.0,0,0,14,15,0,0
348,MAT_015,GP,M,0.0001,0.0,0,0,14,16,0,0
349,MAT_016,GP,F,0.0001,0.0,0,0,14,14,4,0
350,MAT_023,GP,M,0.0001,0.0,0,0,15,15,2,0
351,MAT_033,GP,M,0.0001,0.0,0,0,17,16,0,0
352,MAT_037,GP,M,0.0001,0.0,0,0,15,16,2,0
353,MAT_057,GP,F,0.0001,0.0,0,0,14,15,0,0
354,MAT_066,GP,F,0.0001,0.0,0,0,16,15,2,0
355,MAT_088,GP,F,0.0001,0.0,0,0,13,14,4,0
356,MAT_216,GP,F,0.0001,0.0,0,0,14,15,2,0
357,MAT_325,GP,F,0.0001,0.0,0,0,16,15,0,0
358,MAT_336,GP,F,0.0001,0.0,0,0,16,15,16,0
359,MAT_343,GP,M,0.0001,0.0,0,0,16,15,11,0
360,MAT_379,MS,F,0.0001,0.0,0,0,15,15,0,0
361,MAT_392,MS,M,0.0001,0.0,0,0,14,16,3,0
362,MAT_009,GP,M,0.0,0.0,0,0,16,18,0,0
363,MAT_028,GP,M,0.0,0.0,0,0,15,16,4,0
364,MAT_032,GP,M,0.0,0.0,0,0,17,16,0,0
365,MAT_043,GP,M,0.0,0.0,0,0,19,18,2,0
366,MAT_048,GP,M,0.0,0.0,0,0,19,19,4,0
367,MAT_060,GP,F,0.0,0.0,0,0,15,16,2,0
368,MAT_070,GP,F,0.0,0.0,0,0,16,16,12,0
369,MAT_084,GP,M,0.0,0.0,0,0,15,15,4,0
370,MAT_092,GP,F,0.0,0.0,0,0,16,17,4,0
371,MAT_102,GP,M,0.0,0.0,0,0,16,17,0,0
372,MAT_105,GP,M,0.0,0.0,0,0,16,18,0,0
373,MAT_108,GP,M,0.0,0.0,0,0,16,18,2,0
374,MAT_111,GP,M,0.0,0.0,0,0,18,19,6,0
375,MAT_114,GP,M,0.0,0.0,0,0,18,19,10,0
376,MAT_121,GP,F,0.0,0.0,0,0,16,15,2,0
377,MAT_130,GP,M,0.0,0.0,0,0,18,18,8,0
378,MAT_140,GP,F,0.0,0.0,0,0,16,16,0,0
379,MAT_159,GP,M,0.0,0.0,0,0,17,15,2,0
380,MAT_183,GP,F,0.0,0.0,0,0,16,17,0,0
381,MAT_197,GP,M,0.0,0.0,0,0,17,15,4,0
382,MAT_199,GP,F,0.0,0.0,0,0,18,18,24,1
383,MAT_201,GP,F,0.0,0.0,0,0,16,16,2,0
384,MAT_223,GP,F,0.0,0.0,0,0,16,16,2,0
385,MAT_227,GP,F,0.0,0.0,0,0,16,15,10,0
386,MAT_246,GP,M,0.0,0.0,0,0,18,18,6,0
387,MAT_250,GP,M,0.0,0.0,0,0,13,15,0,0
388,MAT_261,GP,F,0.0,0.0,0,0,17,18,21,0
389,MAT_266,GP,M,0.0,0.0,0,0,17,17,13,0
390,MAT_287,GP,F,0.0,0.0,0,0,18,18,5,0
391,MAT_294,GP,F,0.0,0.0,0,0,18,18,6,0
392,MAT_304,GP,F,0.0,0.0,0,0,17,17,0,0
393,MAT_307,GP,M,0.0,0.0,0,0,17,18,0,0
394,MAT_360,MS,F,0.0,0.0,0,0,18,16,0,0
395,MAT_375,MS,F,0.0,0.0,0,0,19,18,0,0
