student_id,sex,school,need_score,selected_for_support
S0356,F,MS,73.6,0
S0005,F,GP,72.8,0
S0200,F,GP,72.1,0
S0233,M,GP,71.5,0
S0220,F,GP,70.6,0
S0107,F,GP,70.3,0
S0045,F,GP,67.9,0
S0342,M,GP,67.8,0
S0059,M,GP,66.2,0
S0284,F,GP,65.9,0
S0269,M,GP,65.4,0
S0025,F,GP,65.3,0
S0194,M,GP,64.8,0
S0176,M,GP,63.4,0
S0282,M,GP,61.2,0
S0069,F,GP,59.2,0
S0322,F,GP,55.6,0
S0044,M,GP,55.4,0
S0198,M,GP,55.3,0
S0254,M,GP,54.6,0
S0203,F,GP,52.0,0
S0003,F,GP,52.0,0
S0202,F,GP,51.1,0
S0061,F,GP,51.0,0
S0317,F,GP,50.6,0
S0054,F,GP,50.4,0
S0323,F,GP,47.0,0
S0106,F,GP,45.3,0
S0348,M,GP,45.3,0
S0205,F,GP,45.0,0
S0020,M,GP,43.1,0
S0112,F,GP,42.4,0
S0376,F,MS,42.2,0
S0076,M,GP,40.6,0
S0143,F,GP,40.3,0
S0190,M,GP,38.5,0
S0229,M,GP,36.9,0
S0056,F,GP,36.4,0
S0072,M,GP,36.1,0
S0062,F,GP,35.9,0
S0096,F,GP,35.5,0
S0280,M,GP,34.7,0
S0146,F,GP,34.2,0
S0359,M,MS,34.0,0
S0285,F,GP,33.5,0
S0275,F,GP,32.3,0
S0160,M,GP,29.3,0
S0175,F,GP,29.1,0
S0158,F,GP,28.9,0
S0316,F,GP,28.9,0
S0065,F,GP,28.9,0
S0373,F,MS,28.2,0
S0268,F,GP,27.7,0
S0301,F,GP,26.0,0
S0153,F,GP,25.2,0
S0018,F,GP,24.9,0
S0310,F,GP,22.0,0
S0127,F,GP,20.9,0
S0242,M,GP,20.5,0
S0267,M,GP,20.3,0
S0313,M,GP,19.7,0
S0258,M,GP,19.6,0
S0180,M,GP,19.5,0
S0309,M,GP,19.4,0
S0341,F,GP,17.7,0
S0215,F,GP,17.6,0
S0366,M,MS,17.2,0
S0034,M,GP,17.1,0
S0273,F,GP,16.7,0
S0320,F,GP,16.6,0
S0241,M,GP,16.5,0
S0326,M,GP,15.5,0
S0077,M,GP,15.0,0
S0340,F,GP,14.9,0
S0047,F,GP,14.0,0
S0030,M,GP,13.7,0
S0208,F,GP,13.5,0
S0167,M,GP,13.3,0
S0230,F,GP,13.2,0
S0094,F,GP,12.8,0
S0345,F,GP,12.8,0
S0239,F,GP,12.4,0
S0232,M,GP,12.1,0
S0075,F,GP,12.0,0
S0257,F,GP,11.6,0
S0155,F,GP,11.2,0
S0150,M,GP,10.7,0
S0293,F,GP,10.6,0
S0209,F,GP,10.5,0
S0133,F,GP,10.0,0
S0383,M,MS,9.8,0
S0314,F,GP,9.0,0
S0380,F,MS,9.0,0
S0319,F,GP,8.9,0
S0166,M,GP,8.5,0
S0095,M,GP,7.4,0
S0085,F,GP,7.4,0
S0089,M,GP,7.3,0
S0173,M,GP,7.0,0
S0386,F,MS,6.4,0
S0286,M,GP,6.3,0
S0365,F,MS,6.3,0
S0306,F,GP,6.1,0
S0236,M,GP,5.7,0
S0053,M,GP,5.6,0
S0014,M,GP,5.4,0
S0252,M,GP,5.2,0
S0164,M,GP,4.8,0
S0369,F,MS,4.7,0
S0109,M,GP,4.6,0
S0358,F,MS,4.6,0
S0081,M,GP,4.4,0
S0291,M,GP,4.0,0
S0302,M,GP,4.0,0
S0191,F,GP,3.9,0
S0039,F,GP,3.8,0
S0328,M,GP,3.7,0
S0283,F,GP,3.5,0
S0187,M,GP,3.4,0
S0031,M,GP,3.1,0
S0186,M,GP,3.0,0
S0067,M,GP,2.9,0
S0255,M,GP,2.9,0
S0228,M,GP,2.6,0
S0007,M,GP,2.5,0
S0117,M,GP,2.4,0
S0029,M,GP,2.3,0
S0337,F,GP,2.3,0
S0350,M,MS,2.2,0
S0148,F,GP,2.1,0
S0231,F,GP,2.0,0
S0157,M,GP,2.0,0
S0263,M,GP,1.9,0
S0276,F,GP,1.9,0
S0185,F,GP,1.8,0
S0124,M,GP,1.8,0
S0082,M,GP,1.8,0
S0078,F,GP,1.5,0
S0123,F,GP,1.5,0
S0288,F,GP,1.3,0
S0238,F,GP,1.3,0
S0272,F,GP,1.2,0
S0305,M,GP,1.0,0
S0139,M,GP,1.0,0
S0113,F,GP,1.0,0
S0332,F,GP,1.0,0
S0363,F,MS,1.0,0
S0324,F,GP,0.9,0
S0299,F,GP,0.8,0
S0213,F,GP,0.8,0
S0357,F,MS,0.8,0
S0074,M,GP,0.8,0
S0312,F,GP,0.8,0
S0152,M,GP,0.7,0
S0212,M,GP,0.7,0
S0315,F,GP,0.7,0
S0367,M,MS,0.7,0
S0355,M,MS,0.6,0
S0052,F,GP,0.5,0
S0370,F,MS,0.5,0
S0290,M,GP,0.5,0
S0042,M,GP,0.5,0
S0225,F,GP,0.5,0
S0134,F,GP,0.5,0
S0274,M,GP,0.4,0
S0012,F,GP,0.4,0
S0295,M,GP,0.4,0
S0051,F,GP,0.4,0
S0224,M,GP,0.4,0
S0017,F,GP,0.4,0
S0058,M,GP,0.4,0
S0346,F,GP,0.4,0
S0244,M,GP,0.4,0
S0300,M,GP,0.4,0
S0126,M,GP,0.4,0
S0321,F,GP,0.3,0
S0362,M,MS,0.3,0
S0303,F,GP,0.3,0
S0247,M,GP,0.3,0
S0372,M,MS,0.3,0
S0196,F,GP,0.3,0
S0004,F,GP,0.2,0
S0027,M,GP,0.2,0
S0103,M,GP,0.2,0
S0170,F,GP,0.2,0
S0296,M,GP,0.2,0
S0110,F,GP,0.2,0
S0120,M,GP,0.2,0
S0144,F,GP,0.2,0
S0182,M,GP,0.2,0
S0237,M,GP,0.2,0
S0013,M,GP,0.2,0
S0394,M,MS,0.2,0
S0364,F,MS,0.1,0
S0024,M,GP,0.1,0
S0118,M,GP,0.1,0
S0330,F,GP,0.1,0
S0038,M,GP,0.1,0
S0289,M,GP,0.1,0
S0040,F,GP,0.1,0
S0097,M,GP,0.1,0
S0352,M,MS,0.1,0
S0361,F,MS,0.1,0
S0177,F,GP,0.1,0
S0055,F,GP,0.1,0
S0071,M,GP,0.1,0
S0122,M,GP,0.1,0
S0168,F,GP,0.1,0
S0347,M,GP,0.1,0
S0349,F,GP,0.1,0
S0099,F,GP,0.1,0
S0234,M,GP,0.1,0
S0377,F,MS,0.1,0
S0035,M,GP,0.1,0
S0021,M,GP,0.0,0
S0022,M,GP,0.0,0
S0116,M,GP,0.0,0
S0172,M,GP,0.0,0
S0327,M,GP,0.0,0
S0339,F,GP,0.0,0
S0016,F,GP,0.0,0
S0037,M,GP,0.0,0
S0188,M,GP,0.0,0
S0259,M,GP,0.0,0
S0292,F,GP,0.0,0
S0325,F,GP,0.0,0
S0381,M,MS,0.0,0
S0023,M,GP,0.0,0
S0033,M,GP,0.0,0
S0049,M,GP,0.0,0
S0088,F,GP,0.0,0
S0195,M,GP,0.0,0
S0216,F,GP,0.0,0
S0336,F,GP,0.0,0
S0343,M,GP,0.0,0
S0392,M,MS,0.0,0
S0006,M,GP,0.0,0
S0010,M,GP,0.0,0
S0015,M,GP,0.0,0
S0057,F,GP,0.0,0
S0066,F,GP,0.0,0
S0084,M,GP,0.0,0
S0121,F,GP,0.0,0
S0009,M,GP,0.0,0
S0028,M,GP,0.0,0
S0032,M,GP,0.0,0
S0043,M,GP,0.0,0
S0048,M,GP,0.0,0
S0060,F,GP,0.0,0
S0070,F,GP,0.0,0
S0092,F,GP,0.0,0
S0102,M,GP,0.0,0
S0105,M,GP,0.0,0
S0108,M,GP,0.0,0
S0111,M,GP,0.0,0
S0114,M,GP,0.0,0
S0130,M,GP,0.0,0
S0140,F,GP,0.0,0
S0159,M,GP,0.0,0
S0183,F,GP,0.0,0
S0197,M,GP,0.0,0
S0199,F,GP,0.0,0
S0201,F,GP,0.0,0
S0223,F,GP,0.0,0
S0227,F,GP,0.0,0
S0246,M,GP,0.0,0
S0250,M,GP,0.0,0
S0261,F,GP,0.0,0
S0266,M,GP,0.0,0
S0287,F,GP,0.0,0
S0294,F,GP,0.0,0
S0304,F,GP,0.0,0
S0307,M,GP,0.0,0
S0360,F,MS,0.0,0
S0375,F,MS,0.0,0
S0379,F,MS,0.0,0
