student_id,student_group,attendance_rate,assignment_completion_rate,midterm_exam_score,previous_gpa,lms_engagement_hours,late_submissions_count,study_hours_weekly,support_needed
S0037,Group A,85.2,47.9,70.7,7.95,9.2,4,10.1,0
S0038,Group A,92.7,67.9,61.7,7.8,15.4,2,11.4,0
S0039,Group B,83.0,75.0,73.9,7.83,12.3,4,10.0,0
S0040,Group A,94.8,64.2,52.6,4.7,13.5,3,6.1,1
S0041,Group A,75.8,76.2,64.2,6.92,16.3,5,10.0,0
S0042,Group B,98.9,79.1,75.3,8.44,17.5,2,13.3,0
S0043,Group A,100.0,74.9,64.0,7.23,12.6,2,11.8,0
S0044,Group C,77.6,68.9,60.5,5.4,18.6,4,12.9,1
S0045,Group A,76.7,80.4,66.6,7.23,15.1,4,8.6,0
S0046,Group B,99.4,84.2,87.0,9.6,12.4,4,17.9,0
S0047,Group A,100.0,62.7,68.7,8.98,13.7,1,6.1,0
S0048,Group B,75.7,97.8,83.2,7.22,19.7,2,14.4,0
S0049,Group B,77.0,76.6,83.4,8.58,16.7,7,17.9,0
S0050,Group A,78.6,78.3,60.8,6.81,20.6,2,14.4,0
S0051,Group C,65.9,87.9,69.9,5.0,17.4,4,11.0,1
S0052,Group B,71.0,81.3,54.0,6.05,16.6,5,9.4,1
S0053,Group C,70.0,91.3,86.8,9.41,15.3,5,17.2,0
S0054,Group C,72.8,82.0,68.6,6.93,19.6,4,4.9,1
S0055,Group B,81.6,69.4,46.9,6.97,15.7,4,7.1,1
S0056,Group C,84.8,83.1,69.9,6.9,16.0,2,10.0,0
S0057,Group A,100.0,62.0,74.7,9.87,8.2,2,18.2,0
S0058,Group A,70.0,79.5,70.0,9.5,21.1,3,13.9,0
S0059,Group A,93.8,77.5,86.8,10.0,12.7,4,7.2,0
S0060,Group A,79.4,75.1,61.2,7.09,14.2,6,10.4,0
S0061,Group A,81.4,76.2,61.5,7.7,17.3,1,8.9,0
S0062,Group A,90.1,51.7,53.6,5.25,8.7,2,8.5,1
S0063,Group C,68.5,70.3,79.5,9.29,10.8,5,16.9,0
S0064,Group A,86.6,79.3,60.2,5.72,10.3,5,5.1,1
S0065,Group A,84.0,80.2,86.2,7.59,19.0,1,20.0,0
S0066,Group B,87.9,63.6,67.9,5.82,12.5,3,16.1,0
S0067,Group A,85.5,95.7,60.0,6.51,25.0,2,17.5,0
S0068,Group C,100.0,65.9,58.8,6.17,11.6,0,9.7,0
S0069,Group A,74.3,91.6,65.6,6.48,15.9,12,11.3,0
S0070,Group C,75.6,84.0,67.5,6.57,15.7,3,4.8,0
S0071,Group B,74.5,69.0,40.2,6.56,15.8,5,9.4,1
S0072,Group A,75.3,100.0,100.0,8.43,18.6,5,14.5,0
S0073,Group A,74.4,61.3,66.6,5.81,15.6,4,18.5,0
S0074,Group C,96.3,90.9,74.5,7.6,15.6,3,6.5,0
S0075,Group B,99.0,92.0,90.1,8.94,14.6,2,10.2,0
S0076,Group B,75.2,68.6,81.4,6.61,9.6,8,11.2,0
S0077,Group B,72.0,97.5,74.2,6.33,12.9,3,5.0,0
S0078,Group A,87.7,74.5,77.8,6.99,14.4,4,15.0,0
S0079,Group A,75.4,82.0,73.3,8.89,16.2,5,8.4,0
S0080,Group A,89.6,81.6,70.9,7.56,15.2,5,11.0,0
S0081,Group C,84.4,76.1,61.7,6.58,19.9,2,9.7,0
S0082,Group B,63.8,89.4,63.5,7.95,22.0,5,8.1,0
S0083,Group A,100.0,89.1,66.1,5.81,17.3,3,12.0,0
S0084,Group A,100.0,53.5,54.9,8.22,7.2,1,10.9,1
S0085,Group A,74.6,96.3,74.6,7.85,17.7,6,10.1,0
S0086,Group A,77.3,54.7,43.5,6.88,11.0,4,8.4,1
S0087,Group B,85.4,92.5,74.3,6.17,16.8,6,13.6,0
S0088,Group B,86.0,93.8,77.3,6.1,16.9,4,20.3,0
S0089,Group C,89.9,62.7,69.1,8.02,12.1,3,12.7,0
S0090,Group B,100.0,72.2,74.3,8.96,14.4,0,17.0,0
S0091,Group A,79.9,62.5,81.2,6.44,12.1,2,5.0,0
S0092,Group B,72.4,75.0,80.3,7.92,16.6,3,12.8,0
S0093,Group B,65.4,73.7,43.4,4.48,16.9,6,6.5,1
S0094,Group B,73.2,88.9,66.6,6.51,15.5,8,4.6,0
S0095,Group B,81.6,96.3,68.4,7.26,23.2,3,8.3,0
S0096,Group B,100.0,97.5,71.2,6.07,16.7,2,18.0,0
S0097,Group B,75.8,70.1,54.5,6.04,10.4,2,16.8,1
S0098,Group A,84.7,75.1,70.4,6.4,17.2,5,13.2,0
S0099,Group A,81.8,54.4,51.8,7.69,10.3,5,4.3,1
S0100,Group A,96.3,66.7,74.0,7.05,15.6,4,11.0,0
S0101,Group A,100.0,91.5,76.8,4.28,11.4,2,13.5,0
S0102,Group B,75.6,100.0,79.2,4.44,24.2,2,12.9,0
S0103,Group A,76.1,60.7,47.1,6.48,15.7,9,2.8,1
S0104,Group B,94.5,69.7,71.2,7.92,10.7,2,7.5,0
S0105,Group C,90.2,77.6,64.3,3.59,12.0,2,11.7,0
S0106,Group A,100.0,81.9,69.5,6.63,22.1,2,14.7,0
S0107,Group A,89.0,66.7,51.6,6.59,12.5,2,2.0,0
S0108,Group B,77.7,83.9,88.9,9.17,14.9,5,11.2,0
S0109,Group A,89.1,71.4,69.0,6.78,8.6,5,12.7,0
S0110,Group A,95.3,77.8,80.9,7.82,15.4,1,16.2,0
S0111,Group A,91.8,85.6,70.0,7.49,17.0,2,15.5,0
S0112,Group A,88.1,78.1,54.0,4.42,18.6,5,14.9,1
S0113,Group C,94.8,71.9,65.2,8.34,11.3,7,8.0,0
S0114,Group C,96.0,76.5,64.6,7.59,11.7,4,2.5,0
S0115,Group B,98.6,76.8,63.8,7.99,17.6,4,10.0,0
S0116,Group C,89.8,72.8,80.2,10.0,18.7,4,17.0,0
S0117,Group C,80.0,74.4,50.6,4.49,11.2,5,19.0,1
S0118,Group A,83.8,100.0,77.9,9.63,23.2,4,15.6,0
S0119,Group C,96.5,85.9,80.1,6.91,17.8,3,14.1,0
S0120,Group B,72.2,73.9,73.8,7.69,19.1,4,13.9,1
S0121,Group C,86.4,87.8,68.4,7.24,17.8,7,9.2,0
S0122,Group C,77.3,73.3,56.9,6.73,8.2,3,11.3,0
S0123,Group A,82.3,94.4,70.3,6.53,18.7,2,20.3,0
S0124,Group A,97.3,83.2,68.8,7.74,20.5,0,7.3,0
S0125,Group A,84.3,76.5,73.7,5.25,13.6,2,20.1,0
S0126,Group A,82.6,84.3,81.2,8.31,16.3,2,10.4,0
S0127,Group C,65.7,56.0,58.1,6.74,12.4,7,18.6,1
S0128,Group C,91.0,62.2,46.8,5.77,5.3,3,5.0,1
S0129,Group A,89.7,61.3,67.1,6.69,18.8,4,14.9,1
S0130,Group B,100.0,80.0,68.9,9.0,14.1,5,8.3,0
S0131,Group A,78.3,100.0,65.6,6.58,21.5,4,4.9,0
S0132,Group A,84.6,100.0,90.4,7.78,19.7,4,13.1,0
S0133,Group A,85.0,86.9,80.1,6.31,21.7,1,17.0,0
S0134,Group A,100.0,85.0,76.2,8.32,18.8,4,7.8,0
S0135,Group C,80.9,52.8,48.1,8.23,11.7,3,4.5,1
S0136,Group A,85.3,70.4,76.2,9.8,12.6,7,11.5,0
S0137,Group B,89.3,67.0,74.2,7.06,17.1,4,11.6,0
S0138,Group B,84.2,69.3,68.3,8.2,9.5,3,14.7,0
S0139,Group A,76.6,75.6,82.2,7.43,18.0,7,16.7,0
S0140,Group C,84.3,71.4,82.9,9.05,12.1,1,11.7,0
S0141,Group C,94.9,50.3,78.3,6.33,15.8,2,21.3,0
S0142,Group A,69.7,88.5,77.5,8.31,18.6,5,13.1,0
S0143,Group B,83.6,63.0,67.2,7.04,16.0,5,10.3,0
S0144,Group A,73.6,81.3,75.1,7.21,17.3,3,3.9,0
S0145,Group A,96.3,100.0,82.4,7.42,14.7,3,10.7,0
S0146,Group A,63.7,65.1,58.1,7.64,11.8,4,10.3,1
S0147,Group B,75.3,42.6,55.2,7.14,12.8,4,16.8,1
S0148,Group B,86.5,74.0,73.1,7.59,16.3,5,14.3,0
S0149,Group A,100.0,93.4,69.7,9.43,22.5,3,6.1,0
S0150,Group A,81.2,100.0,80.5,8.63,21.2,6,12.9,0
S0151,Group C,75.3,60.8,77.0,8.47,10.8,5,15.4,1
S0152,Group A,100.0,85.0,60.4,6.69,15.2,1,19.6,0
S0153,Group A,64.6,71.5,76.2,6.1,15.7,6,16.4,0
S0154,Group B,55.6,76.5,80.4,8.59,9.3,8,15.8,0
S0155,Group C,87.3,100.0,78.1,8.48,25.0,5,12.3,0
S0156,Group A,76.0,57.0,72.8,9.29,14.4,6,13.9,0
S0157,Group B,69.7,81.6,70.6,6.48,20.7,6,18.2,0
S0158,Group B,90.5,84.5,77.5,6.99,12.8,5,5.3,0
S0159,Group A,84.9,93.2,75.3,5.09,22.6,3,10.3,0
S0160,Group B,75.2,79.4,53.6,6.77,23.4,8,8.1,1
S0161,Group A,66.6,82.3,78.7,8.65,13.2,7,13.9,1
S0162,Group B,92.5,72.5,69.7,6.67,17.9,0,18.2,0
S0163,Group B,89.8,81.8,73.3,8.16,17.1,2,9.0,0
S0164,Group B,80.8,73.2,54.4,7.04,11.1,4,2.0,1
S0165,Group A,100.0,86.7,89.2,7.74,19.4,2,9.9,0
S0166,Group C,69.2,72.8,72.5,5.75,18.2,9,16.6,1
S0167,Group A,63.7,83.3,64.8,7.42,15.5,1,14.7,0
S0168,Group A,73.7,77.6,47.5,3.5,19.9,0,14.1,1
S0169,Group A,81.5,93.8,70.2,7.05,14.0,2,10.6,0
S0170,Group B,84.9,77.3,62.3,5.1,11.9,4,5.6,0
S0171,Group B,79.1,53.2,68.9,8.93,12.9,3,14.6,0
S0172,Group A,86.2,95.7,86.7,8.35,19.4,4,7.8,0
S0173,Group B,67.0,65.3,78.3,7.93,12.3,4,22.9,1
S0174,Group A,99.3,68.8,84.7,9.35,17.4,4,14.9,0
S0175,Group B,81.0,69.7,63.3,6.02,16.7,7,9.1,0
S0176,Group A,95.4,97.2,72.2,9.66,22.1,2,8.9,0
S0177,Group B,86.1,48.1,61.6,8.56,11.3,3,11.5,0
S0178,Group A,87.5,100.0,84.7,6.98,21.8,2,10.8,0
S0179,Group C,88.8,92.8,83.6,8.83,17.5,2,17.6,0
S0180,Group A,87.4,81.1,71.6,5.81,23.1,2,12.9,0
S0181,Group A,89.7,77.2,62.1,6.19,13.9,2,8.3,0
S0182,Group A,97.9,82.0,68.9,6.48,23.4,1,21.5,0
S0183,Group C,84.4,85.3,69.4,6.59,17.8,3,12.2,0
S0184,Group C,90.5,87.0,74.7,5.87,13.8,4,15.8,0
S0185,Group A,80.9,85.8,69.7,8.95,21.8,8,9.0,0
S0186,Group B,99.3,79.3,70.8,6.95,17.1,3,13.8,0
S0187,Group C,73.9,75.2,62.3,7.78,18.6,5,13.6,0
S0188,Group B,100.0,75.9,71.8,6.53,19.8,3,2.6,0
S0189,Group B,81.5,75.3,65.5,4.84,17.1,1,22.1,0
S0190,Group A,64.8,93.9,89.5,7.66,17.2,3,18.5,0
S0191,Group A,83.5,86.3,75.8,4.72,20.7,1,10.0,0
S0192,Group C,73.8,40.0,50.4,7.21,10.4,6,6.5,1
S0193,Group C,92.1,87.2,61.8,5.45,20.0,5,13.7,1
S0194,Group B,74.2,80.7,60.9,9.98,10.5,3,12.4,0
S0195,Group A,76.6,77.7,61.7,8.53,17.8,4,13.8,1
S0196,Group A,59.3,72.6,54.3,7.44,13.7,8,13.0,1
S0197,Group B,76.6,93.7,92.0,9.01,24.0,3,14.5,0
S0198,Group C,52.9,91.3,72.1,6.16,20.5,10,19.2,0
S0199,Group C,63.0,67.2,70.1,8.03,15.5,5,14.8,1
S0200,Group B,91.1,83.7,52.4,7.57,18.9,1,6.8,0
S0201,Group B,91.4,64.4,62.2,7.66,11.3,0,18.8,0
S0202,Group A,87.1,58.7,81.2,9.02,18.3,4,20.2,1
S0203,Group A,70.4,69.2,80.5,8.29,21.1,7,27.8,1
S0204,Group C,81.4,90.1,69.9,7.69,19.6,3,6.4,0
S0205,Group B,82.0,91.3,72.8,5.07,23.4,6,13.2,0
S0206,Group A,68.1,85.2,72.5,6.0,15.9,1,2.0,0
S0207,Group A,100.0,88.2,75.3,7.13,15.7,1,14.8,0
S0208,Group B,92.5,85.2,72.7,7.43,17.8,2,9.3,0
S0209,Group A,79.3,69.0,69.3,5.77,16.3,3,21.6,0
S0210,Group A,82.3,84.0,96.3,10.0,16.3,3,8.1,0
S0211,Group B,84.5,89.2,57.5,9.35,19.9,4,3.6,1
S0212,Group B,57.5,88.6,75.9,8.11,19.1,6,9.6,0
S0213,Group B,79.0,94.6,67.7,7.4,16.1,1,2.1,0
S0214,Group A,73.8,87.9,77.9,7.01,19.6,2,15.8,0
S0215,Group B,70.0,82.9,53.6,6.01,19.9,7,2.0,1
S0216,Group A,78.6,93.0,74.3,7.4,19.4,7,12.1,0
S0217,Group A,100.0,77.6,72.1,7.65,19.9,1,2.0,0
S0218,Group B,89.7,65.7,85.1,5.62,10.9,3,10.4,0
S0219,Group B,75.1,75.7,81.0,7.75,17.5,3,20.2,0
S0220,Group C,88.9,67.6,60.7,7.09,11.3,2,13.8,0
S0221,Group B,98.8,68.5,54.7,4.72,11.6,2,7.7,1
S0222,Group B,93.1,76.0,63.2,6.14,14.3,1,11.8,0
S0223,Group A,82.7,66.9,49.7,6.74,11.9,1,12.1,1
S0224,Group A,74.2,73.7,73.4,9.85,14.1,4,14.4,0
S0225,Group A,90.4,51.5,65.0,8.05,11.6,4,5.2,0
S0226,Group A,86.7,81.0,57.6,5.5,19.5,2,15.0,0
S0227,Group C,92.7,78.0,74.8,7.96,15.5,3,2.0,0
S0228,Group A,89.6,66.6,62.2,5.21,9.9,4,8.9,0
S0229,Group C,94.6,87.2,71.5,8.76,21.4,1,9.6,0
S0230,Group B,75.6,91.1,72.2,6.66,16.1,2,15.2,0
S0231,Group B,97.8,55.5,76.5,7.17,12.7,3,12.1,0
S0232,Group B,84.4,67.3,72.7,9.09,16.1,3,5.0,0
S0233,Group B,100.0,67.2,60.0,5.56,15.4,2,7.1,0
S0234,Group B,73.7,64.8,56.8,5.41,17.7,3,13.0,1
S0235,Group A,100.0,89.6,74.3,6.51,19.8,3,11.6,0
S0236,Group B,84.4,75.3,67.1,8.7,13.5,3,9.1,0
S0237,Group A,74.2,74.3,42.4,5.25,22.4,6,9.6,1
S0238,Group A,76.2,49.9,66.1,3.5,12.6,7,15.5,1
S0239,Group B,78.2,86.9,69.7,6.69,17.5,1,9.4,0
S0240,Group A,87.1,60.7,69.3,8.04,16.6,3,11.6,0
S0241,Group C,88.3,78.8,82.4,8.92,17.4,3,22.8,0
S0242,Group C,75.1,81.9,57.3,6.67,18.3,3,4.9,0
S0243,Group C,81.7,97.0,66.8,6.74,25.0,5,2.7,0
S0244,Group A,100.0,59.7,60.3,8.86,12.7,3,15.9,0
S0245,Group A,100.0,40.0,67.3,4.78,9.4,0,8.6,1
S0246,Group C,87.2,80.6,58.7,6.78,17.2,4,10.4,1
S0247,Group A,82.5,100.0,67.2,7.56,23.2,2,8.1,0
S0248,Group C,83.4,95.3,73.2,7.91,14.7,2,10.7,0
S0249,Group C,89.4,80.9,85.2,6.61,11.1,0,20.0,0
S0250,Group C,69.7,71.1,68.2,7.35,13.6,6,16.0,0
S0251,Group A,78.9,89.3,55.9,3.94,13.4,4,16.3,1
S0252,Group A,62.0,64.4,64.4,6.41,13.0,4,4.9,1
S0253,Group C,86.8,84.7,76.4,7.91,19.1,6,6.2,0
S0254,Group A,89.8,85.1,66.8,5.97,14.9,5,2.0,0
S0255,Group A,76.2,92.8,77.1,7.38,14.6,6,8.0,0
S0256,Group B,100.0,100.0,100.0,7.9,20.2,2,16.8,0
S0257,Group C,67.3,83.5,87.0,6.84,19.9,5,14.6,0
S0258,Group B,64.4,70.9,58.8,7.53,10.3,2,10.9,1
S0259,Group B,84.7,77.6,78.8,6.0,18.9,1,11.9,0
S0260,Group A,94.6,53.2,62.6,7.02,15.0,2,8.6,0
S0261,Group B,100.0,68.3,75.9,8.12,17.8,5,13.0,0
S0262,Group C,76.5,72.3,56.3,7.51,19.2,7,15.8,1
S0263,Group A,94.9,70.7,59.7,6.51,21.9,2,3.9,0
S0264,Group B,81.5,80.1,65.6,7.6,15.8,6,13.5,0
S0265,Group C,79.9,66.5,77.8,8.26,15.0,6,16.7,0
S0266,Group B,92.6,93.7,75.5,4.53,17.7,5,9.9,0
S0267,Group B,89.8,78.0,61.1,8.86,16.5,2,15.5,0
S0268,Group B,63.1,77.9,74.5,6.85,21.1,8,26.1,1
S0269,Group A,99.7,73.4,80.9,7.87,11.7,2,11.5,0
S0270,Group A,98.6,80.2,77.4,8.92,14.2,4,14.0,0
S0271,Group C,74.5,89.6,70.2,5.45,22.5,4,8.3,0
S0272,Group C,86.7,65.9,66.5,6.34,17.6,3,12.9,0
S0273,Group C,87.9,68.8,70.3,6.91,13.9,3,14.3,0
S0274,Group C,85.1,73.7,63.8,6.24,18.4,3,13.0,0
S0275,Group B,75.4,59.2,55.8,9.64,14.5,3,6.9,1
S0276,Group B,73.9,66.5,52.5,6.14,19.1,2,13.0,1
S0277,Group B,81.7,71.3,75.4,6.55,15.6,5,19.3,0
S0278,Group B,96.1,90.2,78.4,7.58,21.5,1,14.2,0
S0279,Group B,88.5,81.7,69.0,5.68,25.0,4,16.8,1
S0280,Group B,77.6,80.7,64.0,6.77,18.7,5,10.8,0
S0281,Group C,91.3,89.9,76.4,7.73,18.5,3,15.7,0
S0282,Group A,50.0,76.1,72.0,6.85,18.3,3,13.4,0
S0283,Group A,95.8,83.5,67.3,7.17,16.3,3,7.2,0
S0284,Group A,61.1,76.6,54.1,6.59,23.4,2,13.6,1
S0285,Group B,77.7,81.7,66.7,5.26,17.6,5,7.0,0
S0286,Group A,68.6,69.8,62.2,7.73,14.4,2,8.8,0
S0287,Group B,66.5,43.9,63.2,9.67,8.5,5,12.9,1
S0288,Group B,95.9,76.1,84.9,7.32,19.5,5,13.5,0
S0289,Group A,76.4,97.9,72.4,7.6,22.3,1,6.1,0
S0290,Group B,86.2,91.0,83.3,8.24,17.1,1,17.3,0
S0291,Group A,81.4,91.5,61.5,5.59,20.4,5,14.9,1
S0292,Group A,87.7,95.3,79.2,9.6,14.7,0,8.5,0
S0293,Group C,82.9,79.2,70.6,7.57,17.2,3,4.3,0
S0294,Group A,66.6,80.8,61.8,9.5,18.3,6,11.3,1
S0295,Group A,94.0,69.4,65.4,6.31,20.2,1,9.8,0
S0296,Group B,76.1,73.6,75.6,9.75,13.5,7,12.6,0
S0297,Group B,63.3,86.6,72.0,8.35,14.0,5,10.2,1
S0298,Group A,76.9,94.9,78.5,8.05,16.5,3,2.0,0
S0299,Group B,100.0,76.0,73.8,7.62,12.2,1,10.1,0
S0300,Group A,92.2,71.7,78.6,6.96,19.5,5,10.5,0
S0301,Group A,77.8,78.0,67.9,8.92,21.1,5,15.2,0
S0302,Group B,77.8,86.4,71.1,7.49,18.8,2,8.5,0
S0303,Group B,78.1,57.8,60.2,4.64,16.9,4,20.4,1
S0304,Group B,100.0,45.9,41.5,5.79,11.7,3,2.4,1
S0305,Group B,86.6,70.3,78.8,7.05,15.0,2,18.6,0
S0306,Group C,87.2,60.9,83.4,7.72,12.7,3,10.9,0
S0307,Group B,94.4,70.9,71.4,7.22,14.4,6,16.3,0
S0308,Group A,84.9,75.9,78.4,8.95,11.5,1,12.4,0
S0309,Group B,78.9,71.7,63.4,4.67,16.3,0,17.7,0
S0310,Group A,79.6,98.3,69.8,7.49,19.6,2,10.1,0
S0311,Group A,81.1,82.6,45.4,4.85,19.4,1,6.5,1
S0312,Group A,81.6,82.2,73.1,8.33,17.4,1,19.1,0
S0313,Group A,90.7,86.7,62.0,7.17,17.4,5,11.4,0
S0314,Group C,82.6,62.1,80.1,7.87,11.3,0,13.1,0
S0315,Group C,90.8,92.5,75.6,6.13,19.0,6,18.2,0
S0316,Group B,81.0,76.9,68.0,9.03,18.5,3,6.8,0
S0317,Group A,82.9,87.4,86.2,8.71,14.6,4,15.0,0
S0318,Group A,58.0,63.0,52.1,8.09,14.3,0,9.1,1
S0319,Group A,93.0,56.2,56.4,7.13,13.7,6,11.3,1
S0320,Group A,86.2,89.5,77.3,8.08,16.2,4,12.4,0
S0321,Group B,94.0,83.3,73.5,6.35,15.6,1,4.5,0
S0322,Group B,50.0,65.4,65.2,8.46,15.2,11,8.1,1
S0323,Group B,100.0,65.8,81.1,9.53,11.1,2,18.8,0
S0324,Group A,80.3,93.8,82.7,8.75,20.1,3,16.4,0
S0325,Group C,95.3,61.3,65.7,6.32,11.1,3,11.7,0
S0326,Group B,69.5,100.0,79.2,7.79,23.2,6,13.2,0
S0327,Group B,89.4,65.4,51.7,5.55,21.5,5,10.5,1
S0328,Group B,69.4,86.9,77.9,8.07,15.3,6,18.8,1
S0329,Group A,74.5,73.4,59.3,7.91,17.3,3,11.0,0
S0330,Group A,100.0,86.4,69.0,4.78,15.7,1,13.2,0
S0331,Group A,79.7,70.4,61.8,5.73,18.4,2,17.7,1
S0332,Group B,84.6,75.7,85.7,6.92,12.3,1,8.1,0
S0333,Group A,92.4,78.6,74.9,6.89,18.0,1,19.8,0
S0334,Group A,87.9,64.0,44.2,5.67,11.6,2,4.3,1
S0335,Group A,83.8,88.4,79.3,7.83,17.5,3,20.1,0
S0336,Group A,86.4,70.8,71.6,7.64,12.2,6,10.1,0
S0337,Group C,100.0,74.8,82.9,7.04,18.4,2,10.8,0
S0338,Group B,81.3,64.1,50.4,6.28,11.7,0,2.5,1
S0339,Group B,84.4,42.1,47.4,8.72,12.4,3,9.7,1
S0340,Group A,94.6,75.3,80.2,9.53,15.0,0,6.8,0
S0341,Group B,95.3,100.0,64.2,6.65,19.7,4,9.0,0
S0342,Group B,96.2,89.0,69.1,6.47,18.7,5,11.3,0
S0343,Group A,89.7,77.7,73.7,7.96,14.2,1,16.8,0
S0344,Group A,68.3,74.3,64.8,6.82,16.5,7,13.0,0
S0345,Group A,100.0,78.3,78.3,7.11,21.1,3,13.5,0
S0346,Group B,68.2,85.7,64.0,8.3,15.4,5,6.5,0
S0347,Group B,85.6,61.5,51.4,4.72,17.4,2,7.6,1
S0348,Group A,72.9,93.6,84.8,9.08,23.5,5,21.0,1
S0349,Group A,81.2,88.0,71.9,7.4,15.6,5,8.3,0
S0350,Group B,85.9,88.1,78.2,6.74,13.7,2,20.3,0
S0351,Group B,85.9,84.1,74.5,7.18,18.4,2,10.8,0
S0352,Group C,87.1,78.3,77.0,7.25,14.9,5,12.0,0
S0353,Group B,100.0,87.4,75.2,4.96,23.6,1,17.4,0
S0354,Group A,87.4,86.3,87.1,9.32,17.9,2,18.4,0
S0355,Group A,79.1,73.0,54.5,7.36,13.3,3,11.4,0
S0356,Group B,93.6,70.0,69.3,7.9,11.8,0,10.1,0
S0357,Group A,96.3,79.4,79.6,8.58,20.0,3,11.7,0
S0358,Group B,67.3,99.7,77.7,5.92,18.2,6,13.7,0
S0359,Group C,89.2,60.7,63.9,7.94,13.8,4,16.5,0
S0360,Group B,90.4,57.5,57.2,6.94,16.1,4,12.0,1
S0361,Group A,78.4,80.3,70.7,8.44,15.4,7,15.1,0
S0362,Group B,98.5,78.7,73.4,4.43,16.5,3,20.2,0
S0363,Group B,80.2,80.4,79.2,7.17,16.8,4,13.9,0
S0364,Group B,83.5,81.4,66.3,6.49,19.1,2,13.6,0
S0365,Group C,79.9,74.9,72.0,7.88,17.8,2,4.4,0
S0366,Group A,82.2,98.9,73.1,7.93,19.2,2,2.0,0
S0367,Group C,68.8,55.6,57.1,6.34,13.1,8,13.9,1
S0368,Group C,64.7,66.4,58.0,6.34,13.5,3,11.5,1
S0369,Group A,100.0,76.6,75.5,7.15,11.8,2,9.4,0
S0370,Group A,71.8,55.0,59.7,6.09,13.6,6,13.2,1
S0371,Group A,70.1,75.5,88.3,8.44,21.8,5,11.7,1
S0372,Group A,56.2,100.0,68.8,6.8,17.3,4,17.6,0
S0373,Group A,74.3,78.3,61.5,3.5,14.2,1,12.4,0
S0374,Group B,66.1,81.2,60.0,6.79,14.4,6,8.3,1
S0375,Group A,100.0,60.4,58.2,5.9,15.8,3,17.0,1
S0376,Group A,94.1,69.4,60.9,5.1,16.4,4,10.9,1
S0377,Group C,73.7,72.7,64.3,5.63,15.2,5,14.6,1
S0378,Group A,100.0,73.6,92.8,7.45,13.0,3,9.6,0
S0379,Group C,93.8,95.9,79.3,9.09,19.6,3,8.8,0
S0380,Group A,78.1,85.8,64.2,7.72,13.0,2,12.4,0
S0381,Group A,52.0,62.4,59.3,6.48,14.4,7,12.1,1
S0382,Group B,100.0,81.5,60.3,7.92,19.6,1,14.4,0
S0383,Group B,65.3,85.0,65.9,6.68,13.8,5,10.7,0
S0384,Group C,62.3,94.0,63.3,6.36,14.4,8,2.8,0
